date,station,incidents
2018,Ashby,16
2017,MacArthur,62
2018,Civic Center/UN Plaza,59
2018,Embarcadero,16
2017,Concord,69
2018,Walnut Creek,16
2018,Dublin/Pleasanton,19
2018,Montgomery St.,8
2018,Pittsburg/Bay Point,24
2018,Pleasant Hill/Contra Costa Centre,12
2018,MacArthur,50
2018,El Cerrito del Norte,27
2018,Glen Park,3
2018,Powell St.,54
2018,Bay Fair,27
2018,Fruitvale,38
2018,West Oakland,41
2018,Richmond,20
2018,Castro Valley,10
2018,Fremont,20
2018,Lafayette,5
2018,Daly City,21
2018,San Francisco International Airport,10
2018,Lake Merritt,80
2018,12th St. Oakland City Center,22
2018,Antioch,5
2018,Downtown Berkeley,14
2018,North Berkeley,14
2018,San Leandro,14
2018,Coliseum,31
2018,Hayward,29
2018,19th St. Oakland,18
2018,Millbrae,5
2018,24th St. Mission,4
2018,Union City,11
2018,El Cerrito Plaza,10
2018,Balboa Park,7
2018,,6
2018,Orinda,4
2018,South Hayward,5
2018,San Bruno,5
2018,16th St. Mission,10
2018,Concord,14
2018,West Dublin/Pleasanton,4
2018,Rockridge,8
2018,Warm Springs/South Fremont,5
2018,Oakland International Airport,1
2018,North Concord/Martinez,4
2018,Colma,2
2018,South San Francisco,2
2017,North Berkeley,35
2017,West Oakland,100
2017,San Leandro,68
2017,Walnut Creek,32
2017,Civic Center/UN Plaza,130
2017,Fruitvale,140
2017,Lake Merritt,80
2017,12th St. Oakland City Center,37
2017,19th St. Oakland,30
2017,Downtown Berkeley,22
2017,Powell St.,113
2017,Bay Fair,105
2017,Daly City,75
2017,Embarcadero,46
2017,El Cerrito del Norte,90
2017,Glen Park,10
2017,Coliseum,166
2017,Pittsburg/Bay Point,108
2017,Dublin/Pleasanton,73
2017,Union City,22
2017,El Cerrito Plaza,22
2017,Hayward,96
2017,Montgomery St.,15
2017,Richmond,70
2017,Warm Springs/South Fremont,24
2017,Colma,18
2017,Balboa Park,9
2017,16th St. Mission,21
2017,,27
2017,Pleasant Hill/Contra Costa Centre,41
2017,Fremont,45
2017,San Bruno,12
2017,Ashby,39
2017,Lafayette,31
2017,South Hayward,44
2017,Orinda,27
2017,Castro Valley,19
2017,Rockridge,29
2017,North Concord/Martinez,36
2017,West Dublin/Pleasanton,21
2017,San Francisco International Airport,8
2017,24th St. Mission,11
2017,Millbrae,15
2017,Antioch,7
2017,South San Francisco,24
2016,16th St. Mission,25
2016,Dublin/Pleasanton,115
2016,Pittsburg/Bay Point,113
2016,Walnut Creek,65
2016,Concord,136
2016,Lake Merritt,91
2016,San Leandro,77
2016,South Hayward,64
2016,Antioch,12
2016,West Oakland,118
2016,Ashby,58
2016,Embarcadero,47
2016,Bay Fair,141
2016,Orinda,50
2016,Coliseum,230
2016,Richmond,97
2016,North Berkeley,50
2016,Castro Valley,28
2016,Hayward,92
2016,12th St. Oakland City Center,53
2016,Fremont,79
2016,Fruitvale,163
2016,24th St. Mission,23
2016,Civic Center/UN Plaza,120
2016,Balboa Park,23
2016,,38
2016,19th St. Oakland,25
2016,Union City,49
2016,Daly City,65
