Count_Star,url,id,info_url,abbreviation,latitude,longitude,address,city,county,state,zipcode,date,station_name,station_name0,autothefts,bicyclethefts,grandthefts,assaults,robberies,weapons,narcotics,intoxications,sexcrimes,fareevasions,vandalisms,trespassings,kidnappings,homicides,name,avgweekdayridership
532,https://www.bartcrimes.com/api/v0/stations/5/,5,http://www.bart.gov/stations/ASHB,ASHB,37.852803,-122.270062,3100 Adeline Street,Berkeley,alameda,CA,94703,"January 29, 1973",Ashby,Ashby,109,121,30,66,37,37,13,24,8,4,2,3,1,0,Ashby,5280
875,https://www.bartcrimes.com/api/v0/stations/25/,25,http://www.bart.gov/stations/MCAR,MCAR,37.829065,-122.26704,555 40th Street,Oakland,alameda,CA,94609,"September 11, 1972",MacArthur,MacArthur,80,158,93,115,87,81,34,40,20,4,4,9,0,2,MacArthur,8931
1038,https://www.bartcrimes.com/api/v0/stations/9/,9,http://www.bart.gov/stations/CIVC,CIVC,37.779732,-122.414123,1150 Market Street,San Francisco,sanfrancisco,CA,94102,"November 5, 1973",Civic Center/UN Plaza,Civic Center/UN Plaza,3,43,147,88,72,54,104,29,14,35,5,13,0,0,Civic Center/UN Plaza,23151
423,https://www.bartcrimes.com/api/v0/stations/18/,18,http://www.bart.gov/stations/EMBR,EMBR,37.792874,-122.39702,298 Market Street,San Francisco,sanfrancisco,CA,94111,"May 27, 1976",Embarcadero,Embarcadero,4,7,64,52,41,23,15,13,13,12,1,14,0,0,Embarcadero,50363
763,https://www.bartcrimes.com/api/v0/stations/12/,12,http://www.bart.gov/stations/CONC,CONC,37.973737,-122.029095,1451 Oakland Avenue,Concord,contracosta,CA,94520,"May 21, 1973",Concord,Concord,192,125,22,79,34,62,41,24,9,1,8,4,0,1,Concord,5866
439,https://www.bartcrimes.com/api/v0/stations/43/,43,http://www.bart.gov/stations/WCRK,WCRK,37.905522,-122.067527,200 Ygnacio Valley Road,Walnut Creek,contracosta,CA,94596,"September 11, 1972",Walnut Creek,Walnut Creek,89,130,23,31,3,7,13,24,4,0,5,2,0,1,Walnut Creek,6998
700,https://www.bartcrimes.com/api/v0/stations/15/,15,http://www.bart.gov/stations/DUBL,DUBL,37.701687,-121.899179,5801 Owens Dr.,Pleasanton,alameda,CA,94588,"May 10, 1997",Dublin/Pleasanton,Dublin/Pleasanton,155,215,57,56,9,17,10,32,12,2,10,7,0,0,Dublin/Pleasanton,8423
229,https://www.bartcrimes.com/api/v0/stations/27/,27,http://www.bart.gov/stations/MONT,MONT,37.789405,-122.401066,598 Market Street,San Francisco,sanfrancisco,CA,94104,"November 5, 1973",Montgomery St.,Montgomery St.,1,0,61,29,25,17,0,5,5,3,0,1,0,0,Montgomery St.,45579
1091,https://www.bartcrimes.com/api/v0/stations/32/,32,http://www.bart.gov/stations/PITT,PITT,38.018914,-121.945154,1700 West Leland Road,Pittsburg,contracosta,CA,94565,"December 7, 1996",Pittsburg/Bay Point,Pittsburg/Bay Point,412,45,54,112,48,77,27,42,24,1,8,7,0,0,Pittsburg/Bay Point,4030
440,https://www.bartcrimes.com/api/v0/stations/33/,33,http://www.bart.gov/stations/PHIL,PHIL,37.928468,-122.056012,1365 Treat Blvd.,Walnut Creek,contracosta,CA,94597,"May 21, 1973",Pleasant Hill/Contra Costa Centre,Pleasant Hill/Contra Costa Centre,127,147,27,19,3,8,8,16,1,1,2,3,0,0,Pleasant Hill/Contra Costa Centre,7620
