day,hour,value
1,0,230
1,1,206
1,2,206
1,3,169
1,4,165
1,5,130
1,6,115
1,7,111
1,8,80
1,9,30
1,10,47
1,11,57
1,12,46
1,13,77
1,14,107
1,15,137
1,16,150
1,17,151
1,18,180
1,19,148
1,20,166
1,21,161
1,22,184
1,23,261
2,0,315
2,1,336
2,2,288
2,3,253
2,4,197
2,5,148
2,6,126
2,7,133
2,8,84
2,9,38
2,10,24
2,11,26
2,12,93
2,13,94
2,14,87
2,15,146
2,16,140
2,17,144
2,18,115
2,19,114
2,20,97
2,21,120
2,22,158
2,23,244
3,0,339
3,1,347
3,2,345
3,3,238
3,4,199
3,5,190
3,6,192
3,7,133
3,8,91
3,9,32
3,10,18
3,11,39
3,12,77
3,13,85
3,14,93
3,15,130
3,16,147
3,17,152
3,18,128
3,19,132
3,20,147
3,21,120
3,22,197
3,23,232
4,0,343
4,1,364
4,2,302
4,3,274
4,4,218
4,5,220
4,6,162
4,7,134
4,8,82
4,9,37
4,10,23
4,11,31
4,12,83
4,13,91
4,14,105
4,15,123
4,16,151
4,17,152
4,18,161
4,19,114
4,20,128
4,21,150
4,22,177
4,23,251
5,0,285
5,1,328
5,2,316
5,3,236
5,4,237
5,5,180
5,6,170
5,7,123
5,8,80
5,9,47
5,10,18
5,11,40
5,12,73
5,13,73
5,14,112
5,15,130
5,16,144
5,17,163
5,18,124
5,19,135
5,20,132
5,21,146
5,22,156
5,23,218
6,0,271
6,1,275
6,2,262
6,3,227
6,4,202
6,5,153
6,6,156
6,7,142
6,8,117
6,9,70
6,10,52
6,11,65
6,12,72
6,13,47
6,14,89
6,15,94
6,16,118
6,17,124
6,18,150
6,19,142
6,20,143
6,21,172
6,22,168
6,23,192
7,0,216
7,1,233
7,2,209
7,3,183
7,4,187
7,5,213
7,6,164
7,7,164
7,8,76
7,9,73
7,10,41
7,11,30
7,12,48
7,13,36
7,14,38
7,15,82
7,16,101
7,17,133
7,18,145
7,19,130
7,20,153
7,21,136
7,22,170
7,23,190
