day,hour,station,value
1,0,,1
1,0,12th St. Oakland City Center,5
1,0,16th St. Mission,5
1,0,19th St. Oakland,6
1,0,24th St. Mission,3
1,0,Ashby,6
1,0,Bay Fair,10
1,0,Castro Valley,2
1,0,Civic Center/UN Plaza,9
1,0,Coliseum,17
1,0,Concord,7
1,0,Daly City,1
1,0,Downtown Berkeley,2
1,0,Dublin/Pleasanton,9
1,0,El Cerrito Plaza,4
1,0,El Cerrito del Norte,10
1,0,Embarcadero,3
1,0,Fremont,5
1,0,Fruitvale,18
1,0,Glen Park,2
1,0,Hayward,8
1,0,Lafayette,1
1,0,Lake Merritt,3
1,0,MacArthur,13
1,0,Millbrae,1
1,0,Montgomery St.,2
1,0,North Berkeley,3
1,0,North Concord/Martinez,2
1,0,Orinda,1
1,0,Pittsburg/Bay Point,8
1,0,Pleasant Hill/Contra Costa Centre,3
1,0,Powell St.,13
1,0,Richmond,7
1,0,Rockridge,4
1,0,San Francisco International Airport,1
1,0,San Leandro,10
1,0,South Hayward,1
1,0,South San Francisco,1
1,0,Union City,3
1,0,Walnut Creek,7
1,0,West Dublin/Pleasanton,2
1,0,West Oakland,11
1,1,,5
1,1,12th St. Oakland City Center,6
1,1,16th St. Mission,2
1,1,19th St. Oakland,3
1,1,24th St. Mission,2
1,1,Antioch,1
1,1,Ashby,6
1,1,Balboa Park,1
1,1,Bay Fair,14
1,1,Civic Center/UN Plaza,7
1,1,Coliseum,9
1,1,Colma,1
1,1,Concord,8
1,1,Daly City,3
1,1,Downtown Berkeley,4
1,1,Dublin/Pleasanton,6
1,1,El Cerrito Plaza,4
1,1,El Cerrito del Norte,9
1,1,Embarcadero,4
1,1,Fremont,6
1,1,Fruitvale,16
1,1,Glen Park,2
1,1,Hayward,6
1,1,Lafayette,2
1,1,Lake Merritt,2
1,1,MacArthur,13
1,1,Millbrae,2
1,1,Montgomery St.,2
1,1,North Berkeley,4
1,1,North Concord/Martinez,2
1,1,Orinda,3
1,1,Pittsburg/Bay Point,7
1,1,Pleasant Hill/Contra Costa Centre,1
1,1,Powell St.,9
1,1,Richmond,9
1,1,Rockridge,4
1,1,San Francisco International Airport,1
1,1,San Leandro,3
1,1,South Hayward,3
1,1,Union City,2
1,1,Walnut Creek,3
1,1,West Dublin/Pleasanton,2
1,1,West Oakland,7
1,2,,3
1,2,12th St. Oakland City Center,3
1,2,16th St. Mission,4
1,2,19th St. Oakland,2
1,2,24th St. Mission,1
1,2,Ashby,6
1,2,Balboa Park,1
1,2,Bay Fair,18
1,2,Castro Valley,1
1,2,Civic Center/UN Plaza,8
1,2,Coliseum,16
1,2,Colma,2
1,2,Concord,4
1,2,Daly City,7
1,2,Downtown Berkeley,3
1,2,Dublin/Pleasanton,4
1,2,El Cerrito Plaza,1
1,2,El Cerrito del Norte,5
1,2,Embarcadero,4
1,2,Fremont,5
1,2,Fruitvale,16
1,2,Glen Park,1
1,2,Hayward,8
1,2,Lafayette,1
1,2,Lake Merritt,4
1,2,MacArthur,7
1,2,Montgomery St.,2
1,2,North Berkeley,2
1,2,North Concord/Martinez,1
1,2,Pittsburg/Bay Point,12
1,2,Pleasant Hill/Contra Costa Centre,4
1,2,Powell St.,14
1,2,Richmond,8
1,2,Rockridge,3
1,2,San Bruno,1
1,2,San Leandro,6
1,2,South Hayward,2
1,2,Union City,2
1,2,Walnut Creek,2
1,2,West Dublin/Pleasanton,2
1,2,West Oakland,10
1,3,,1
1,3,12th St. Oakland City Center,1
1,3,19th St. Oakland,6
1,3,24th St. Mission,2
1,3,Balboa Park,1
1,3,Bay Fair,8
1,3,Castro Valley,4
1,3,Civic Center/UN Plaza,6
1,3,Coliseum,10
1,3,Colma,1
1,3,Concord,7
1,3,Daly City,6
1,3,Downtown Berkeley,3
1,3,Dublin/Pleasanton,3
1,3,El Cerrito del Norte,3
1,3,Embarcadero,5
1,3,Fremont,2
1,3,Fruitvale,14
1,3,Glen Park,1
