weekof,incidents
2018-05-16,38
2017-11-29,28
2018-01-17,25
2017-09-27,34
2018-05-02,37
2018-07-18,26
2018-07-11,39
2018-07-04,35
2018-06-27,33
2018-06-20,34
2018-06-13,33
2018-06-06,28
2018-05-30,32
2018-05-23,24
2018-05-09,25
2018-04-25,22
2018-04-18,30
2018-04-11,24
2018-04-04,20
2018-03-28,23
2018-03-21,23
2018-03-14,37
2018-03-07,29
2018-02-28,36
2018-02-21,27
2018-02-14,28
2018-02-07,26
2018-01-31,26
2018-01-24,31
2018-01-10,26
2018-01-03,10
2017-12-27,14
2017-12-20,19
2017-12-13,18
2017-12-06,27
2017-11-22,40
2017-11-15,23
2017-11-08,33
2017-11-01,41
2017-10-25,35
2017-10-18,27
2017-10-11,38
2017-10-04,48
2017-09-20,54
2017-09-13,63
2017-09-06,51
2017-08-30,61
2017-08-23,74
2017-08-16,54
2017-08-09,53
2017-08-02,63
2017-07-26,55
2017-07-19,56
2017-07-12,13
2017-05-31,57
2017-05-24,56
2017-05-17,59
2017-05-10,54
2017-05-03,55
2017-04-26,73
2017-04-19,69
2017-04-12,53
2017-04-05,41
2017-03-29,55
2017-03-22,62
2017-03-15,63
2017-03-08,59
2017-03-01,55
2017-02-22,71
2017-02-15,51
2017-02-08,52
2017-02-01,63
2017-01-25,67
2017-01-18,63
2017-01-11,59
2017-01-04,40
2016-12-28,59
2016-12-21,45
2016-12-14,50
2016-12-07,65
2016-11-30,57
2016-11-23,53
2016-11-16,54
2016-11-09,67
2016-11-02,64
2016-10-26,80
2016-10-19,54
2016-10-12,51
2016-10-05,61
2016-09-28,74
2016-09-21,60
2016-09-14,59
2016-09-07,50
2016-08-31,52
2016-08-24,56
2016-08-17,45
2016-08-10,63
2016-08-03,65
2016-07-27,75
2016-07-20,57
2016-07-13,49
2016-07-06,59
2016-06-29,62
2016-06-22,60
2016-06-15,52
2016-06-08,66
2016-06-01,53
2016-05-25,42
2016-05-18,55
2016-05-11,71
2016-05-04,57
2016-04-27,82
2016-04-20,64
2016-04-13,63
2016-04-06,57
2016-03-30,60
2016-03-23,49
2016-03-16,46
2016-03-09,62
2016-03-02,63
2016-02-24,71
2016-02-17,58
2016-02-10,52
2016-02-03,65
2016-01-27,64
2016-01-20,42
2016-01-13,49
2016-01-06,45
2015-12-30,57
2015-12-23,56
2015-12-16,62
2015-12-09,63
2015-12-02,64
2015-11-25,44
2015-11-18,59
2015-11-11,82
2015-11-04,88
2015-10-28,61
2015-10-21,75
2015-10-14,60
2015-10-07,58
2015-09-30,73
2015-09-23,69
2015-09-16,60
2015-09-09,56
2015-09-02,49
2015-08-26,62
2015-08-19,63
2015-08-12,65
2015-08-05,72
2015-07-29,57
2015-07-22,73
2015-07-15,79
2015-07-08,59
2015-07-01,58
2015-06-24,54
2015-06-17,65
2015-06-10,43
2015-06-03,42
2015-05-27,58
2015-05-20,43
2015-05-13,64
2015-05-06,45
2015-04-29,43
2015-04-22,40
2015-04-15,68
2015-04-08,49
2015-04-01,52
2015-03-25,60
2015-03-18,56
2015-03-11,54
2015-03-04,61
2015-02-25,56
2015-02-18,66
2015-02-11,50
2015-02-04,57
2015-01-28,50
2015-01-21,65
2015-01-14,64
2015-01-07,64
2014-12-31,53
2014-12-24,52
2014-12-17,82
2014-12-10,44
2014-12-03,57
2014-11-26,60
2014-11-19,84
2014-11-12,73
2014-11-05,71
2014-10-29,70
2014-10-22,84
2014-10-15,70
2014-10-08,71
2014-10-01,62
2014-09-24,64
2014-09-17,67
2014-09-10,63
2014-09-03,65
2014-08-27,66
2014-08-20,56
2014-08-13,74
2014-08-06,71
2014-07-30,71
2014-07-23,66
2014-07-16,71
2014-07-09,69
2014-07-02,58
2014-06-25,74
2014-06-18,80
2014-06-11,76
2014-06-04,69
2014-05-28,75
2014-05-21,85
2014-05-14,85
2014-05-07,60
2014-04-30,71
2014-04-23,64
2014-04-16,59
2014-04-09,57
2014-04-02,66
2014-03-26,52
2014-03-19,58
2014-03-12,68
2014-03-05,66
2014-02-26,49
2014-02-19,54
2014-02-12,39
2014-02-05,53
2014-01-29,62
2014-01-22,51
2014-01-15,46
2014-01-08,60
2014-01-01,54
2013-12-25,60
2013-12-18,58
2013-12-11,78
2013-12-04,53
2013-11-27,69
2013-11-20,91
2013-11-13,74
2013-11-06,79
2013-10-30,65
2013-10-23,68
2013-10-16,60
2013-10-09,61
2013-10-02,90
2013-09-25,99
2013-09-18,97
2013-09-11,68
2013-09-04,96
2013-08-28,78
2013-08-21,83
2013-08-14,79
2013-08-07,83
2013-07-31,66
2013-07-24,95
2013-07-17,66
2013-07-10,71
2013-07-03,57
2013-06-26,70
2013-06-19,93
2013-06-12,74
2013-06-05,64
2013-05-29,61
2013-05-22,61
2013-05-15,60
2013-05-08,73
2013-05-01,48
2013-04-24,62
2013-04-17,70
2013-04-10,62
2013-04-03,53
2013-03-27,80
2013-03-20,58
2013-03-13,63
2013-03-06,73
2013-02-27,69
2013-02-20,63
2013-02-13,73
2013-02-06,65
2013-01-30,60
2013-01-23,74
2013-01-16,50
2013-01-09,48
2013-01-02,55
2012-12-26,51
2012-12-19,40
2012-12-12,57
2012-12-05,45
2012-11-28,51
2012-11-21,56
2012-11-14,74
2012-11-07,57
2012-10-31,50
2012-10-24,52
2012-10-17,67
2012-10-10,60
2012-10-03,61
2012-09-26,64
2012-09-19,91
2012-09-12,67
2012-09-05,72
2012-08-29,64
2012-08-22,66
2012-08-15,82
2012-08-08,47
2012-08-01,61
2012-07-25,62
2012-07-18,71
2012-07-11,74
2012-07-04,62
2012-06-27,64
2012-06-20,97
2012-06-13,67
2012-06-06,63
2012-05-30,79
2012-05-23,62
2012-05-16,68
2012-05-09,67
2012-05-02,56
2012-04-25,43
2012-04-18,62
2012-04-11,68
2012-04-04,57
2012-03-28,44
2012-03-21,37
2012-03-14,37
2012-03-07,62
2012-02-29,44
2012-02-22,64
2012-02-15,68
2012-02-08,43
2012-02-01,45
2012-01-25,49
2012-01-18,53
2012-01-11,44
2012-01-04,29
2011-12-28,35
2011-12-21,33
2011-12-14,38
2011-12-07,25
2011-11-30,30
2011-11-23,22
2011-11-16,34
2011-11-09,31
2011-11-02,27
2011-10-26,27
2011-10-19,44
2011-10-12,24
2011-10-05,26
2011-09-28,35
2011-09-21,32
2011-09-14,24
2011-09-07,33
2011-08-31,42
2011-08-24,31
2011-08-17,29
2011-08-10,42
2011-08-03,22
2011-07-27,33
2011-07-20,27
2011-07-13,40
2011-07-06,36
2011-06-29,30
2011-06-22,44
2011-06-15,42
2011-06-08,40
2011-06-01,40
2011-05-25,38
2011-05-18,28
2011-05-11,33
2011-05-04,36
2011-04-27,35
2011-04-20,36
2011-04-13,20
2011-04-06,25
2011-03-30,21
2011-03-23,18
2011-03-16,30
2011-03-09,21
2011-03-02,21
2011-02-23,22
2011-02-16,17
2011-02-09,19
2011-02-02,28
2011-01-26,17
2011-01-19,16
2011-01-12,14
2011-01-05,29
2010-12-29,17
2010-12-22,13
2010-12-15,9
2010-12-08,23
2010-12-01,21
2010-11-24,13
2010-11-17,24
2010-11-10,21
2010-11-03,14
2010-10-27,26
2010-10-20,29
2010-10-13,23
2010-10-06,25
2010-09-29,16
2010-09-22,25
2010-09-15,15
2010-09-08,13
2010-09-01,12
2010-08-25,22
2010-08-18,23
2010-08-11,21
2010-08-04,14
2010-07-28,14
2010-07-21,25
2010-07-14,25
2010-07-07,14
2010-06-30,18
2010-06-23,11
2010-06-16,5
2010-06-09,15
2010-06-02,5
2010-05-26,11
2010-05-19,13
2010-05-12,12
2010-05-05,13
2010-04-28,12
2010-04-21,14
2010-04-14,18
2010-04-07,9
2010-03-31,20
2010-03-24,14
2010-03-17,16
2010-03-10,23
2010-03-03,4
2010-02-24,8
2010-02-17,7
2010-02-10,12
2010-02-03,6
2010-01-27,6
2010-01-20,10
2010-01-13,10
2010-01-06,14
2009-12-30,16
2009-12-23,8
2009-12-16,15
2009-12-09,12
2009-12-02,14
2009-11-25,14
2009-11-18,15
2009-11-11,5
2009-11-04,23
2009-10-28,12
2009-10-21,10
2009-10-14,13
2009-10-07,15
2009-09-30,14
2009-09-23,11
2009-09-16,16
2009-09-09,15
2009-09-02,11
2009-08-26,13
2009-08-19,8
2009-08-12,14
2009-08-05,5
2009-07-29,18
2009-07-22,19
2009-07-15,13
2009-07-08,4
2009-07-01,12
2009-06-24,15
2009-06-17,18
2009-06-10,16
2009-06-03,17
2009-05-27,6
2009-05-20,11
2009-05-13,17
2009-05-06,11
2009-04-29,13
2009-04-22,18
2009-04-15,8
2009-04-08,14
2009-04-01,14
2009-03-25,11
2009-03-18,17
2009-03-11,9
2009-03-04,10
2009-02-25,11
2009-02-18,12
2009-02-11,9
2009-02-04,15
2009-01-28,22
2009-01-21,7
2009-01-14,17
2009-01-07,8
2008-12-31,15
2008-12-24,19
2008-12-17,15
2008-12-10,11
2008-12-03,16
2008-11-26,20
2008-11-19,13
2008-11-12,16
2008-11-05,17
2008-10-29,8
2008-10-22,14
2008-10-15,9
2008-10-08,9
2008-10-01,17
2008-09-24,14
2008-09-17,18
2008-09-10,18
2008-09-03,18
2008-08-27,16
2008-08-20,12
2008-08-13,20
2008-08-06,27
2008-07-30,11
2008-07-23,14
2008-07-16,15
2008-07-09,9
2008-07-02,14
2008-06-25,13
2008-06-18,15
2008-06-11,16
2008-06-04,13
2008-05-28,12
2008-05-21,12
2008-05-14,13
2008-05-07,17
2008-04-30,18
2008-04-23,17
2008-04-16,20
2008-04-09,15
2008-04-02,15
2008-03-26,25
2008-03-19,21
2008-03-12,16
2008-03-05,13
2008-02-27,17
2008-02-20,12
2008-02-13,10
2008-02-06,16
2008-01-30,9
2008-01-23,11
2008-01-16,8
2008-01-09,17
2008-01-02,15
2007-12-26,12
2007-12-19,9
2007-12-12,12
2007-12-05,12
2007-11-28,17
2007-11-21,12
2007-11-14,9
2007-11-07,6
2007-10-31,19
2007-10-24,8
2007-10-17,20
2007-10-10,6
2007-10-03,7
2007-09-26,4
2007-09-19,21
2007-09-12,13
2007-09-05,15
2007-08-29,19
2007-08-22,17
2007-08-15,9
2007-08-08,13
2007-08-01,18
2007-07-25,7
2007-07-18,7
2007-07-11,16
2007-07-04,12
2007-06-27,25
2007-06-20,13
2007-06-13,18
2007-06-06,19
2007-05-30,17
2007-05-23,6
2007-05-16,19
2007-05-09,18
2007-05-02,16
2007-04-25,19
2007-04-18,19
2007-04-11,19
2007-04-04,16
2007-03-28,20
2007-03-21,11
2007-03-14,5
2007-03-07,20
2007-02-28,18
2007-02-21,20
2007-02-14,13
2007-02-07,19
2007-01-31,15
2007-01-24,15
2007-01-17,20
2007-01-10,17
2007-01-03,17
2006-12-27,16
2006-12-20,17
2006-12-13,23
2006-12-06,20
2006-11-29,26
2006-11-22,32
2006-11-15,12
2006-11-08,28
2006-11-01,21
2006-10-25,20
2006-10-18,17
2006-10-11,21
2006-10-04,18
2006-09-27,23
2006-09-20,13
2006-09-13,17
2006-09-06,15
2006-08-30,29
2006-08-23,13
2006-08-16,31
2006-08-09,14
2006-08-02,21
2006-07-26,13
2006-07-19,22
2006-07-12,16
2006-07-05,19
2006-06-28,19
2006-06-21,17
2006-06-14,17
2006-06-07,26
2006-05-31,15
2006-05-24,42
2006-05-17,23
2006-05-10,20
2006-05-03,12
2006-04-26,16
2006-04-19,15
2006-04-12,20
2006-04-05,16
2006-03-29,16
2006-03-22,22
2006-03-15,35
2006-03-08,25
2006-03-01,17
